Periode,pnbp_minyak_bumi
8/2/2019,3.95017E+11
11/2/2019,1.7603E+11
12/2/2019,2.10744E+11
2/14/2019,5.25776E+11
2/15/2019,2.6581E+11
2/19/2019,4.34639E+11
2/20/2019,92947391999
2/21/2019,326118169
2/25/2019,5.9186E+11
2/26/2019,3.90726E+11
2/27/2019,3.81205E+11
1/3/2019,94562358687
4/3/2019,9.12432E+11
5/3/2019,2.6871E+12
6/3/2019,3.67546E+11
11/3/2019,4.10193E+11
12/3/2019,4.19873E+11
3/13/2019,24720038751
3/14/2019,1.09574E+11
3/15/2019,5.90171E+11
3/19/2019,6.65775E+11
3/20/2019,3009463353
3/21/2019,1.56641E+11
3/25/2019,3.58791E+11
3/26/2019,8.91501E+11
3/27/2019,85453876151
3/28/2019,1.05627E+11
3/29/2019,3.76787E+11
1/4/2019,1.24534E+12
2/4/2019,1.17496E+11
5/4/2019,5.57983E+11
8/4/2019,3936060
9/4/2019,7.09209E+11
10/4/2019,3292993619
11/4/2019,3.96175E+11
12/4/2019,1360811744
4/15/2019,1574560
4/16/2019,1.04458E+12
4/18/2019,39914264965
4/22/2019,4.49352E+11
4/23/2019,6.49726E+11
4/24/2019,1.91399E+11
4/25/2019,7.60806E+11
4/29/2019,1.8546E+11
4/30/2019,-2.66983E+11
2/5/2019,2.45173E+12
3/5/2019,9.88013E+11
8/5/2019,5.48085E+11
9/5/2019,2.39378E+11
5/13/2019,1802017439
5/14/2019,8.23652E+11
5/15/2019,1.89227E+11
5/16/2019,4.55659E+11
5/20/2019,3.54276E+11
5/21/2019,5.63852E+11
5/22/2019,2.52231E+11
5/24/2019,1.85344E+11
5/27/2019,5.28417E+11
5/28/2019,6.74469E+11
5/31/2019,4.26365E+12
11/6/2019,2821920521
6/14/2019,1.29066E+12
6/18/2019,8.04983E+11
6/20/2019,54637450577
6/21/2019,3427485470
6/24/2019,3.98119E+11
6/25/2019,-2.14529E+11
6/26/2019,1.28715E+11
6/27/2019,7665375881
1/7/2019,62749435476
2/7/2019,2.4605E+12
3/7/2019,7.41575E+11
5/7/2019,6.49674E+11
9/7/2019,1.53913E+11
10/7/2019,6.38522E+11
11/7/2019,30756433708
12/7/2019,7.28617E+11
7/16/2019,3.53102E+11
7/17/2019,66315085779
7/18/2019,96371447717
7/19/2019,5.42666E+11
7/23/2019,7.03754E+11
7/24/2019,96750165476
7/25/2019,47106449612
7/26/2019,3.31942E+11
7/29/2019,4.45351E+11
7/30/2019,6.95263E+11
